COD_MUNIC_IBGE,id_municipio_6,nome,capital_uf,id_regiao_imediata,nome_regiao_imediata,id_regiao_intermediaria,nome_regiao_intermediaria,id_regiao_metropolitana,nome_regiao_metropolitana,id_uf,sigla_uf,nome_uf,nome_regiao,centroide,amazonia_legal,SUDENE,semiarido,faixa_fronteira,matopiba,cidades_intermediadoras,amazonia_azul,Tipologia_PNDR_3,População 2022,R_ACAI,R_BIO,R_CACAU,R_CORDEIRO,R_ECO_CIR,R_FRUTI,R_LEITE,R_MEL,R_TIC,R_PESCADO,R_MODA,R_AVICULTURA,R_MANDIOCULTURA
5101837,510183,Boa Esperança do Norte,0,510008,Sorriso,5103,Sinop,,,51,MT,Mato Grosso,Centro-Oeste,POINT(-54.9417429754238 -13.463197935201),1,0.0,0.0,0.0,0.0,0.0,0.0,Não classificado,,,,,,,,,,,,,,
1101104,110110,Itapuã do Oeste,0,110001,Porto Velho,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-63.044960463046 -9.17019402601564),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Baixo Dinamismo,8548.0,,,Polo Amazônico,,,,,,,,,,
1100205,110020,Porto Velho,1,110001,Porto Velho,1101,Porto Velho,101,Região Metropolitana de Porto Velho,11,RO,Rondônia,Norte,POINT(-64.3041357999869 -9.15394033687075),1,0.0,0.0,1.0,0.0,0.0,0.0,Média Renda e Baixo Dinamismo,457313.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
1100809,110080,Candeias do Jamari,0,110001,Porto Velho,1101,Porto Velho,101,Região Metropolitana de Porto Velho,11,RO,Rondônia,Norte,POINT(-63.3254198532114 -8.88702392955617),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,22294.0,,,Polo Amazônico,,,,,,,,,,
1100338,110033,Nova Mamoré,0,110001,Porto Velho,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-64.6295025002404 -10.3822863210755),1,0.0,0.0,1.0,0.0,0.0,0.0,Média Renda e Baixo Dinamismo,25368.0,,,,,,,,,,,,,
1100452,110045,Buritis,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-63.9412277150937 -10.052095567536),1,0.0,0.0,1.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,27801.0,,,Polo Amazônico,,,,,,,,,,
1100700,110070,Campo Novo de Rondônia,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-63.7997903925811 -10.484878565906),1,0.0,0.0,1.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,8833.0,,,Polo Amazônico,,,,,,,,,,
1100940,110094,Cujubim,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-62.5652673033848 -9.1709863446154),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,14863.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
1100106,110010,Guajará-Mirim,0,110001,Porto Velho,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-64.537710733004 -11.3055098790143),1,0.0,0.0,1.0,0.0,0.0,0.0,Média Renda e Baixo Dinamismo,38903.0,,,,,,,,,,,,,
1100080,110008,Costa Marques,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-64.0586026986492 -12.1470859394294),1,0.0,0.0,1.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,12528.0,,,,,,,,,,,,,
1101492,110149,São Francisco do Guaporé,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-63.1226712699562 -12.3688265389959),1,0.0,0.0,1.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,16250.0,,,,,,,,,,,,,
1100262,110026,Rio Crespo,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-62.7900702016081 -9.64518849498086),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,3443.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
1101401,110140,Monte Negro,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-63.3724143382525 -10.2109441112104),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,11529.0,,,,,,,,,,,,,
1100601,110060,Cacaulândia,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-62.9872365107648 -10.3316252433648),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,4150.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
1100023,110002,Ariquemes,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-62.9572500386403 -9.95200191172898),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,96129.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
1100403,110040,Alto Paraíso,0,110002,Ariquemes,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-63.3941889058133 -9.64949873236446),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,16308.0,,,,,,,,,,,,,
1100130,110013,Machadinho D'Oeste,0,110003,Jaru,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-62.0102481941873 -9.20393838734944),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,30413.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
1101757,110175,Vale do Anari,0,110003,Jaru,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-61.9390187514678 -9.7324510362451),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,7740.0,,,Polo Amazônico,,,,,,,,,,
1100114,110011,Jaru,0,110003,Jaru,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-62.5846289302498 -10.5922624897705),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,50527.0,,,Polo Amazônico,,,,,,,,,,
1101005,110100,Governador Jorge Teixeira,0,110003,Jaru,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-63.1838878487462 -10.7480058389103),1,0.0,0.0,1.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,7965.0,,,Polo Amazônico,,,,,,,,,,
1101609,110160,Theobroma,0,110003,Jaru,1101,Porto Velho,,,11,RO,Rondônia,Norte,POINT(-62.3423767358094 -10.1217399384339),1,0.0,0.0,0.0,0.0,0.0,0.0,Média Renda e Médio Dinamismo,8113.0,,,Polo Amazônico,,,,,,,,,,
1101435,110143,Nova União,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-62.5324230615508 -10.8894263149336),1,0.0,0.0,0.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,6197.0,,,Polo Amazônico,,,,,,,,,,
1101559,110155,Teixeirópolis,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-62.2798698638238 -10.9436411858726),1,0.0,0.0,0.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,4256.0,,,Polo Amazônico,,,,,,,,,,
1101708,110170,Urupá,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-62.4244266261899 -11.1039541581858),1,0.0,0.0,0.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,10725.0,,,Polo Amazônico,,,,,,,,,,
1100254,110025,Presidente Médici,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-61.8779863440222 -11.1662597508561),1,0.0,0.0,0.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,19268.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
1100122,110012,Ji-Paraná,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-61.7571804718937 -10.4618678835131),1,0.0,0.0,0.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,123729.0,,,Polo Amazônico,,,,,,,,,,
1100155,110015,Ouro Preto do Oeste,0,110004,Ji-Paraná,1102,Ji-Paraná,,,11,RO,Rondônia,Norte,POINT(-62.1725232327903 -10.6104388071409),1,0.0,0.0,0.0,0.0,1.0,0.0,Média Renda e Médio Dinamismo,34827.0,,,Polo Amazônico,,,,,,,Polo do Pescado de Rodonia,,,
